booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,amount,discount,date_of_booking
59,192162,Cancelled,2017-01-16,2017-01-17,1,153,2144,453,2017-01-11
60,46140,Stayed,2017-01-09,2017-01-11,2,153,12995,3409,2017-01-03
61,156920,Cancelled,2017-01-07,2017-01-08,1,128,3379,858,2017-01-06
62,59454,Cancelled,2017-01-05,2017-01-08,1,128,12281,3117,2017-01-05
63,59454,Cancelled,2017-01-06,2017-01-08,1,128,8577,2177,2017-01-03
64,59454,Cancelled,2017-01-05,2017-01-06,1,128,4289,1089,2017-01-03
65,78645,Cancelled,2017-02-28,2017-03-01,1,402,2469,523,2017-01-26
66,6014,Stayed,2017-01-24,2017-01-25,1,402,1754,446,2017-01-23
67,70892,Stayed,2017-01-21,2017-01-22,1,250,2664,563,2017-01-21
68,92309,Cancelled,2017-01-18,2017-01-19,1,250,2079,0,2017-01-18
69,122584,Stayed,2017-01-09,2017-01-11,1,846,5717,1451,2017-01-07
70,130034,Cancelled,2017-02-07,2017-02-09,1,107,7797,1979,2017-01-25
71,138055,Stayed,2017-01-18,2017-01-19,1,107,3249,825,2017-01-18
72,79348,Stayed,2017-01-16,2017-01-17,1,107,2989,633,2017-01-16
73,3580,Stayed,2017-01-17,2017-01-19,1,583,4677,990,2017-01-16
74,140507,Cancelled,2017-01-17,2017-01-18,2,583,5327,1128,2017-01-13
75,66504,Stayed,2017-01-06,2017-01-09,1,583,6104,1291,2017-01-05
76,163261,Cancelled,2017-01-06,2017-01-07,1,583,2274,578,2017-01-05
77,26179,Stayed,2017-02-03,2017-02-04,1,245,2101,444,2017-01-31
78,36787,Stayed,2017-01-26,2017-01-27,1,245,2284,580,2017-01-21
79,83841,Stayed,2017-01-25,2017-01-27,1,245,4131,1048,2017-01-23
80,101925,Cancelled,2017-01-28,2017-02-03,1,245,12667,2680,2017-01-26
81,17746,Cancelled,2017-01-26,2017-01-28,1,245,6620,1400,2017-01-12
82,103003,Cancelled,2017-01-06,2017-01-07,1,245,2977,756,2017-01-06
83,68240,Stayed,2017-01-02,2017-01-03,1,245,2005,425,2017-01-02
84,69750,Stayed,2017-01-24,2017-01-25,1,56,3704,783,2017-01-18
85,69750,Cancelled,2017-01-24,2017-01-25,1,56,3314,701,2017-01-23
86,50628,Stayed,2017-01-19,2017-01-20,1,56,3704,941,2017-01-16
87,69750,Cancelled,2017-01-18,2017-01-19,1,56,3314,701,2017-01-18
88,13402,Stayed,2017-01-24,2017-01-26,1,382,6562,1665,2017-01-23
89,31960,Stayed,2017-01-30,2017-02-02,1,944,7180,1519,2017-01-30
90,35729,Cancelled,2017-01-27,2017-01-28,1,944,2023,428,2017-01-27
91,35729,Cancelled,2017-01-27,2017-01-28,1,944,2509,531,2017-01-27
92,117605,Stayed,2017-01-17,2017-01-18,2,944,3461,733,2017-01-17
93,119500,Stayed,2017-01-15,2017-01-16,1,944,1702,360,2017-01-15
94,62595,Cancelled,2017-01-27,2017-01-30,2,944,21212,5385,2017-01-13
95,66504,Cancelled,2017-01-05,2017-01-06,1,944,1745,370,2017-01-05
96,71800,Cancelled,2017-02-01,2017-02-02,1,86,1594,338,2017-01-31
97,77745,Cancelled,2017-03-05,2017-03-08,1,86,9859,2086,2017-01-11
98,77745,Cancelled,2017-03-11,2017-03-14,1,86,9859,2086,2017-01-11
99,107105,Stayed,2017-01-26,2017-01-28,1,86,4488,1140,2017-01-25
100,37423,Stayed,2017-01-16,2017-01-20,1,86,10587,2240,2017-01-09
101,37423,Stayed,2017-01-18,2017-01-19,1,86,2102,444,2017-01-18
102,128513,Stayed,2017-01-18,2017-01-19,1,86,2050,520,2017-01-18
103,190136,Cancelled,2017-01-25,2017-01-26,1,86,1606,340,2017-01-23
104,78626,Stayed,2017-01-13,2017-01-14,1,837,3444,728,2017-01-13
105,8873,Stayed,2017-01-20,2017-01-25,1,161,7371,1560,2017-01-20
106,83841,Cancelled,2017-01-25,2017-01-30,1,161,8964,1896,2017-01-23
107,57801,Stayed,2017-01-22,2017-01-23,1,161,1594,338,2017-01-20
108,57801,Cancelled,2017-01-23,2017-01-24,1,161,2088,460,2017-01-22
109,108129,Stayed,2017-01-02,2017-01-03,1,938,2469,523,2017-01-02
110,16015,Stayed,2017-01-07,2017-01-08,1,475,1457,370,2017-01-07
111,117378,Stayed,2017-01-11,2017-01-13,1,248,5717,1210,2017-01-10
112,32390,Stayed,2017-01-27,2017-01-30,1,760,13256,2916,2017-01-24
113,15775,Stayed,2017-01-21,2017-01-22,1,760,2209,468,2017-01-21
114,85555,Cancelled,2017-02-11,2017-02-19,1,597,22870,5031,2017-01-25
115,34633,No Show,2017-01-21,2017-01-22,1,597,3205,678,2017-01-19
116,35354,Stayed,2017-01-19,2017-01-20,1,597,2796,592,2017-01-18
117,35354,Stayed,2017-01-15,2017-01-19,1,597,10270,2173,2017-01-14
118,119500,Stayed,2017-01-16,2017-01-17,1,597,2555,540,2017-01-16
119,137573,Cancelled,2017-01-19,2017-01-20,1,597,2664,563,2017-01-07
120,137573,Cancelled,2017-01-06,2017-01-07,1,597,2729,693,2017-01-06
121,13793,Stayed,2017-01-30,2017-01-31,1,154,2339,495,2017-01-30
122,38109,Cancelled,2017-01-24,2017-01-25,1,154,1212,308,2017-01-24
123,106210,Stayed,2017-01-19,2017-01-20,1,154,1884,398,2017-01-19
124,106210,Cancelled,2017-01-19,2017-01-20,1,154,2534,558,2017-01-09
125,195339,No Show,2017-02-03,2017-02-04,1,84,1819,385,2017-01-30
126,91702,Stayed,2017-01-26,2017-01-27,1,84,2794,591,2017-01-25
127,46373,No Show,2017-01-25,2017-01-26,1,84,2729,578,2017-01-21
128,47963,Stayed,2017-01-19,2017-01-20,1,84,2209,468,2017-01-19
129,35610,Stayed,2017-01-17,2017-01-18,1,84,2079,440,2017-01-17
130,191775,Stayed,2017-01-16,2017-01-17,1,84,2079,440,2017-01-12
131,47942,Stayed,2017-01-16,2017-01-17,1,84,1689,372,2017-01-16
132,47942,Stayed,2017-01-15,2017-01-16,1,84,1819,462,2017-01-05
133,115548,No Show,2017-01-06,2017-01-09,1,84,5456,0,2017-01-05
134,49619,Stayed,2017-01-27,2017-01-29,1,894,6627,1682,2017-01-05
135,12023,Stayed,2017-01-07,2017-01-08,1,894,2794,710,2017-01-04
136,49619,Cancelled,2017-01-27,2017-01-29,1,894,5847,1238,2017-01-05
137,72648,Stayed,2017-01-31,2017-02-01,1,612,1949,413,2017-01-29
138,67726,Stayed,2017-01-12,2017-01-13,1,612,2339,495,2017-01-10
139,33288,Stayed,2017-01-11,2017-01-12,1,612,2599,660,2017-01-09
140,197674,Stayed,2017-01-26,2017-01-27,1,251,2469,523,2017-01-25
141,197674,Cancelled,2017-01-26,2017-01-27,1,251,2794,591,2017-01-24
142,92482,Stayed,2017-01-23,2017-01-24,1,251,2404,508,2017-01-23
143,133399,Stayed,2017-01-25,2017-01-29,1,975,9292,2044,2017-01-24
144,65660,Stayed,2017-01-25,2017-01-26,1,975,1689,372,2017-01-24
145,133399,Stayed,2017-01-20,2017-01-25,1,975,10719,2358,2017-01-17
146,65660,Stayed,2017-01-17,2017-01-21,1,975,7145,1572,2017-01-16
147,133399,Stayed,2017-01-18,2017-01-19,1,975,2100,462,2017-01-09
148,71338,Stayed,2017-01-22,2017-01-23,1,83,2404,508,2017-01-22
149,112913,Stayed,2017-01-29,2017-02-02,1,409,26255,5554,2017-01-01
150,82881,Stayed,2017-02-13,2017-02-15,1,106,6627,1403,2017-01-13
151,77179,Stayed,2017-01-13,2017-01-14,1,106,2469,523,2017-01-13
152,77179,Stayed,2017-01-09,2017-01-13,1,106,9027,2291,2017-01-08
153,77179,Stayed,2017-01-02,2017-01-06,1,106,11887,2515,2017-01-01
154,155955,Cancelled,2017-01-22,2017-01-23,1,874,1884,479,2017-01-22
155,76850,Stayed,2017-01-09,2017-01-10,1,874,1104,281,2017-01-09
156,42304,Cancelled,2017-01-26,2017-01-29,1,244,7406,1566,2017-01-24
157,109973,Cancelled,2017-01-22,2017-01-23,1,244,2209,561,2017-01-21
158,49442,Cancelled,2017-01-05,2017-01-06,1,244,2079,528,2017-01-04
159,79360,Stayed,2017-01-03,2017-01-04,1,244,2209,561,2017-01-03
160,197635,Stayed,2017-01-23,2017-01-25,1,408,3897,857,2017-01-22
161,95113,Stayed,2017-01-06,2017-01-09,1,408,6626,1682,2017-01-05
162,11342,Stayed,2017-01-26,2017-01-28,1,554,5067,1073,2017-01-26
163,11342,Cancelled,2017-01-26,2017-01-29,1,554,7925,1676,2017-01-24
164,163441,Stayed,2017-01-19,2017-01-20,1,554,2209,468,2017-01-17
165,6989,Stayed,2017-01-15,2017-01-16,1,554,2209,468,2017-01-15
166,195788,No Show,2017-01-08,2017-01-09,1,554,2014,512,2017-01-07
167,26072,Stayed,2017-01-23,2017-01-25,1,353,3897,857,2017-01-23
168,109973,Stayed,2017-01-21,2017-01-22,1,353,2534,536,2017-01-21
169,192648,Cancelled,2017-01-30,2017-01-31,1,757,3336,706,2017-01-29
170,9197,Cancelled,2017-01-14,2017-01-15,1,757,3137,796,2017-01-01
171,9197,Cancelled,2017-01-16,2017-01-17,1,757,3137,663,2017-01-01
172,97775,Stayed,2017-01-07,2017-01-08,1,757,3101,788,2017-01-06
173,43374,Stayed,2017-01-06,2017-01-07,2,757,6201,1574,2017-01-05
174,97775,Cancelled,2017-01-08,2017-01-09,1,757,3000,761,2017-01-06
175,137492,Stayed,2017-01-31,2017-02-01,1,820,2079,440,2017-01-31
176,137492,Stayed,2017-01-24,2017-01-25,1,820,2339,495,2017-01-24
177,137492,Stayed,2017-01-17,2017-01-18,1,820,2339,495,2017-01-17
178,67129,Stayed,2017-03-08,2017-03-12,1,691,7618,1612,2017-01-27
179,140961,Stayed,2017-01-31,2017-02-01,1,691,2391,607,2017-01-31
180,100962,Cancelled,2017-02-02,2017-02-03,1,691,2094,443,2017-01-31
181,8240,Stayed,2017-01-31,2017-02-13,1,691,28882,6109,2017-01-30
182,140961,Cancelled,2017-01-31,2017-02-01,1,691,2391,506,2017-01-31
183,137438,Cancelled,2017-01-30,2017-02-01,2,691,6698,1474,2017-01-30
184,87218,Cancelled,2017-01-21,2017-01-24,12,691,83538,18379,2017-01-18
185,53022,No Show,2017-01-11,2017-01-12,1,691,1856,0,2017-01-11
186,137492,Stayed,2017-01-06,2017-01-07,1,691,1563,331,2017-01-06
187,33193,Stayed,2017-01-05,2017-01-06,1,691,2648,672,2017-01-05
188,171363,Stayed,2017-01-09,2017-01-10,1,691,1859,472,2017-01-08
189,85876,Stayed,2017-01-14,2017-01-28,1,280,25644,5425,2017-01-09
190,154952,Stayed,2017-01-27,2017-01-28,1,280,1832,387,2017-01-06
191,154952,Cancelled,2017-01-28,2017-01-29,1,280,1832,387,2017-01-06
192,154952,Stayed,2017-01-26,2017-01-27,1,280,1832,387,2017-01-03
193,189029,Cancelled,2017-01-30,2017-02-04,1,978,29049,6145,2017-01-29
194,197267,Stayed,2017-01-22,2017-01-23,1,633,3964,0,2017-01-21
195,100627,Cancelled,2017-01-08,2017-01-09,1,633,4289,1089,2017-01-05
196,100627,Cancelled,2017-01-08,2017-01-09,1,888,3379,858,2017-01-05
197,139720,Cancelled,2017-01-20,2017-01-22,1,888,5912,1300,2017-01-20
198,139720,Cancelled,2017-01-20,2017-01-22,1,888,6627,1458,2017-01-15
199,150865,Cancelled,2017-01-22,2017-01-23,1,699,4484,1898,2017-01-21
200,166969,Cancelled,2017-01-20,2017-01-21,1,699,4029,853,2017-01-18
201,29563,Stayed,2017-02-27,2017-03-03,1,627,6776,1433,2017-01-25
202,21667,Stayed,2017-01-10,2017-01-12,1,627,3224,846,2017-01-09
203,54558,Stayed,2017-01-31,2017-02-01,1,219,1689,358,2017-01-30
204,119500,Cancelled,2017-01-04,2017-01-05,1,219,2209,561,2017-01-04
205,160575,Cancelled,2017-01-07,2017-01-08,1,637,2339,594,2017-01-05
206,137492,Stayed,2017-01-19,2017-01-20,1,635,1949,413,2017-01-19
207,137492,Stayed,2017-01-09,2017-01-10,1,635,1754,446,2017-01-09
208,177755,Stayed,2017-01-27,2017-01-28,1,635,2209,468,2017-01-27
209,137492,Cancelled,2017-01-21,2017-01-22,1,635,2209,468,2017-01-21
210,137492,Stayed,2017-01-11,2017-01-12,1,635,1754,371,2017-01-11
211,137078,Cancelled,2017-01-31,2017-02-02,1,359,4742,1043,2017-01-25
212,14687,Stayed,2017-01-19,2017-01-20,1,359,1819,385,2017-01-19
213,61768,Stayed,2017-01-28,2017-01-29,1,842,2205,485,2017-01-28
214,61768,Cancelled,2017-01-28,2017-01-29,1,842,2014,443,2017-01-28
215,181249,Stayed,2017-01-25,2017-01-26,1,220,1429,303,2017-01-25
216,139865,Cancelled,2017-01-31,2017-02-01,1,299,2664,563,2017-01-30
217,119565,Stayed,2017-01-28,2017-01-29,1,299,3444,728,2017-01-28
218,29684,Stayed,2017-01-28,2017-01-29,1,299,3769,798,2017-01-28
219,6513,Stayed,2017-01-27,2017-01-28,1,299,2924,618,2017-01-27
220,29684,Cancelled,2017-01-28,2017-01-29,1,299,4484,948,2017-01-25
221,29684,Cancelled,2017-01-28,2017-01-29,1,299,5134,1086,2017-01-24
222,183919,Stayed,2017-01-31,2017-02-01,1,299,2664,586,2017-01-31
223,162144,Stayed,2017-01-15,2017-01-17,1,299,6497,1429,2017-01-14
224,188854,Cancelled,2017-01-17,2017-01-18,1,299,3249,688,2017-01-16
225,72807,Stayed,2017-01-16,2017-01-17,1,299,2924,743,2017-01-16
226,121464,Stayed,2017-01-14,2017-01-15,1,299,3509,743,2017-01-14
227,72807,Cancelled,2017-01-15,2017-01-16,1,299,3249,825,2017-01-15
228,78264,Cancelled,2017-01-14,2017-01-15,1,299,3509,772,2017-01-11
229,188854,Cancelled,2017-01-12,2017-01-13,1,299,2924,618,2017-01-12
230,119565,Stayed,2017-01-20,2017-01-21,1,299,3054,776,2017-01-19
231,143969,Stayed,2017-01-16,2017-01-18,1,299,5977,1265,2017-01-16
232,119466,Cancelled,2017-01-04,2017-01-05,1,299,3639,924,2017-01-03
233,94377,Stayed,2017-01-30,2017-01-31,1,315,3576,787,2017-01-30
234,112615,Stayed,2017-01-30,2017-01-31,1,315,2426,514,2017-01-30
235,112615,Stayed,2017-01-30,2017-01-31,1,315,3110,658,2017-01-30
236,112615,Cancelled,2017-01-30,2017-01-31,2,315,6219,1316,2017-01-30
237,133250,Stayed,2017-01-24,2017-01-25,1,315,3054,646,2017-01-23
238,69769,Stayed,2017-01-18,2017-01-19,1,315,3119,660,2017-01-15
239,188854,Stayed,2017-01-11,2017-01-12,1,315,3509,743,2017-01-11
240,159675,No Show,2017-01-10,2017-01-11,2,315,6237,1583,2017-01-10
241,188854,Stayed,2017-01-09,2017-01-10,1,315,3639,924,2017-01-07
242,133250,Stayed,2017-01-08,2017-01-09,1,315,3639,924,2017-01-08
243,188854,Cancelled,2017-01-17,2017-01-18,1,315,3054,646,2017-01-17
244,188854,Stayed,2017-01-03,2017-01-04,1,315,3704,941,2017-01-02
245,21016,Stayed,2017-01-21,2017-01-22,1,309,2599,550,2017-01-20
246,119466,Cancelled,2017-01-11,2017-01-12,1,309,2599,660,2017-01-09
247,194263,Stayed,2017-01-23,2017-01-24,1,557,2079,440,2017-01-23
248,162144,Cancelled,2017-01-16,2017-01-17,1,557,2989,633,2017-01-16
249,189124,Stayed,2017-01-05,2017-01-06,1,557,2989,759,2017-01-05
250,7701,Stayed,2017-01-11,2017-01-12,1,557,3574,756,2017-01-10
251,152290,Stayed,2017-01-10,2017-01-11,1,557,2664,677,2017-01-10
252,18979,Cancelled,2017-01-28,2017-01-29,1,132,4679,990,2017-01-20
253,34712,Stayed,2017-01-25,2017-01-26,1,132,3899,825,2017-01-25
254,19531,Cancelled,2017-01-26,2017-01-28,1,132,10787,2738,2017-01-25
255,107631,Stayed,2017-01-08,2017-01-09,1,132,3509,921,2017-01-07
256,163562,Stayed,2017-01-26,2017-01-27,1,883,3588,759,2017-01-22
257,73708,Stayed,2017-01-24,2017-01-25,1,883,3588,759,2017-01-22
258,40182,Stayed,2017-01-24,2017-01-25,1,883,3588,759,2017-01-24
259,85715,Cancelled,2017-01-21,2017-01-22,1,883,4399,931,2017-01-21
260,172006,Stayed,2017-01-14,2017-01-15,1,883,3752,794,2017-01-14
261,159422,Stayed,2017-01-10,2017-01-11,1,883,2102,534,2017-01-10
262,128921,Cancelled,2017-01-10,2017-01-11,1,883,1620,425,2017-01-10
263,134918,Stayed,2017-01-19,2017-01-20,1,883,2253,476,2017-01-19
264,29885,Stayed,2017-01-17,2017-01-18,1,565,4354,921,2017-01-17
265,24613,Stayed,2017-01-19,2017-01-20,1,31,4159,880,2017-01-19
266,64956,Stayed,2017-01-18,2017-01-19,1,31,3899,825,2017-01-16
267,182461,Cancelled,2017-01-16,2017-01-18,1,31,9747,2474,2017-01-12
268,2162,Stayed,2017-01-10,2017-01-11,1,31,4159,1056,2017-01-10
269,33978,Stayed,2017-01-15,2017-01-16,1,884,4874,1073,2017-01-13
270,7412,Cancelled,2017-01-20,2017-01-21,1,884,4744,1003,2017-01-07
271,60319,No Show,2017-01-21,2017-01-22,1,265,3899,990,2017-01-20
272,12255,Cancelled,2017-02-23,2017-02-26,1,473,7601,1608,2017-01-31
273,3585,Cancelled,2017-01-27,2017-01-28,1,473,2729,578,2017-01-25
274,182493,No Show,2017-01-26,2017-01-27,1,473,2469,523,2017-01-25
275,100201,Cancelled,2017-01-26,2017-01-27,1,473,2014,426,2017-01-26
276,160469,Cancelled,2017-01-25,2017-01-26,1,473,2014,853,2017-01-25
277,8760,Stayed,2017-01-21,2017-01-22,1,473,2469,523,2017-01-19
278,82622,Stayed,2017-01-17,2017-01-18,1,473,2729,693,2017-01-17
279,85562,Stayed,2017-01-14,2017-01-15,1,473,2664,563,2017-01-14
280,5049,Stayed,2017-01-08,2017-01-09,1,473,2469,627,2017-01-06
281,165056,Stayed,2017-01-05,2017-01-06,1,473,2469,648,2017-01-04
282,75870,Stayed,2017-01-04,2017-01-05,1,473,2144,545,2017-01-04
283,184360,Cancelled,2017-01-02,2017-01-03,1,473,2989,759,2017-01-01
284,62184,Cancelled,2017-01-07,2017-01-08,1,473,2469,627,2017-01-05
285,19017,Stayed,2017-01-25,2017-01-26,1,397,4289,908,2017-01-25
286,15445,Cancelled,2017-01-18,2017-01-19,1,397,4744,1003,2017-01-16
287,15445,Cancelled,2017-01-18,2017-01-19,1,397,4744,1003,2017-01-15
288,19017,Stayed,2017-01-10,2017-01-11,1,397,3379,858,2017-01-10
289,19017,No Show,2017-01-08,2017-01-09,1,397,5069,1287,2017-01-06
290,19017,Cancelled,2017-01-06,2017-01-07,1,397,5069,1287,2017-01-04
291,14120,Stayed,2017-01-28,2017-01-29,1,170,2274,481,2017-01-28
292,143338,Stayed,2017-01-20,2017-01-21,1,170,2079,440,2017-01-20
293,143338,Stayed,2017-01-19,2017-01-20,1,170,2209,468,2017-01-18
294,143338,Stayed,2017-01-18,2017-01-19,1,170,2209,468,2017-01-18
295,143338,Stayed,2017-01-17,2017-01-18,1,170,2014,426,2017-01-17
296,143338,Stayed,2017-01-13,2017-01-14,1,170,2404,508,2017-01-13
297,143338,Stayed,2017-01-11,2017-01-12,1,170,1949,413,2017-01-11
298,143338,Stayed,2017-01-04,2017-01-05,1,170,2014,512,2017-01-04
299,143338,Stayed,2017-01-03,2017-01-04,1,170,2209,561,2017-01-03
300,48615,Stayed,2017-02-04,2017-02-05,1,73,3314,701,2017-01-25
301,34654,Stayed,2017-01-16,2017-01-17,1,73,2209,468,2017-01-13
302,34654,Stayed,2017-01-15,2017-01-16,1,73,2209,468,2017-01-14
303,53976,Stayed,2017-01-14,2017-01-15,1,73,2209,468,2017-01-13
304,189707,Stayed,2017-01-13,2017-01-15,1,73,5717,1210,2017-01-13
305,189707,Cancelled,2017-01-13,2017-01-15,1,73,5717,1210,2017-01-12
306,56630,Cancelled,2017-02-10,2017-02-12,1,229,9357,1980,2017-01-19
307,158276,Stayed,2017-01-27,2017-01-28,1,229,4549,963,2017-01-26
308,112633,Cancelled,2017-01-07,2017-01-08,1,229,3379,858,2017-01-06
309,27204,Stayed,2017-01-09,2017-01-10,1,570,2924,767,2017-01-07
310,27204,Stayed,2017-01-08,2017-01-09,1,570,2794,733,2017-01-07
311,27204,Cancelled,2017-01-08,2017-01-10,1,570,9227,2420,2017-01-03
312,88939,Stayed,2017-01-02,2017-01-03,1,570,3769,798,2017-01-02
313,88939,Stayed,2017-01-04,2017-01-05,1,570,3119,792,2017-01-03
314,88939,Stayed,2017-01-03,2017-01-04,1,570,3509,891,2017-01-02
315,114763,Cancelled,2017-01-30,2017-01-31,1,427,4614,1172,2017-01-30
316,83896,Stayed,2017-01-25,2017-01-26,1,428,5849,1238,2017-01-23
317,68866,Cancelled,2017-03-03,2017-03-04,1,99,6824,1733,2017-01-27
318,186429,Cancelled,2017-01-30,2017-01-31,1,99,3964,838,2017-01-30
319,9198,Stayed,2017-01-06,2017-01-07,1,901,4354,1106,2017-01-06
320,123932,Stayed,2017-01-18,2017-01-19,1,142,3899,825,2017-01-18
321,15767,Stayed,2017-01-14,2017-01-15,1,357,3574,756,2017-01-10
322,7971,Cancelled,2017-01-27,2017-01-28,1,357,3574,756,2017-01-27
323,13209,Cancelled,2017-01-24,2017-01-25,1,817,4939,1045,2017-01-23
324,172055,Stayed,2017-01-28,2017-01-29,1,439,3964,838,2017-01-28
325,7971,Stayed,2017-01-27,2017-01-28,1,439,3314,701,2017-01-27
326,172055,Stayed,2017-01-23,2017-01-24,1,439,3509,743,2017-01-23
327,56558,Stayed,2017-01-14,2017-01-15,1,439,3574,756,2017-01-14
328,66097,Cancelled,2017-01-14,2017-01-15,1,439,3574,908,2017-01-14
329,134413,Cancelled,2017-02-01,2017-02-02,1,301,3054,776,2017-01-31
330,171359,Stayed,2017-01-30,2017-01-31,1,301,2404,508,2017-01-29
331,111098,Stayed,2017-01-25,2017-01-26,1,301,2664,563,2017-01-25
332,33359,Stayed,2017-01-21,2017-01-22,1,301,3054,646,2017-01-20
333,84259,Stayed,2017-01-14,2017-01-15,1,301,3379,858,2017-01-14
334,195741,No Show,2017-01-10,2017-01-11,1,301,2859,605,2017-01-05
335,60460,Cancelled,2017-01-29,2017-01-30,1,301,2404,529,2017-01-29
336,119466,Cancelled,2017-01-13,2017-01-14,1,301,3379,858,2017-01-12
337,60557,Cancelled,2017-01-10,2017-01-11,1,301,3444,875,2017-01-09
338,114013,Cancelled,2017-03-09,2017-03-11,1,296,6692,1416,2017-01-11
339,114013,Cancelled,2017-03-07,2017-03-09,1,296,6757,1430,2017-01-11
340,90625,Stayed,2017-01-31,2017-02-01,1,296,2079,458,2017-01-31
341,137366,Stayed,2017-01-22,2017-01-23,1,296,3314,842,2017-01-22
342,126313,Stayed,2017-01-11,2017-01-12,1,296,2989,784,2017-01-09
